Swedish,German,Category
en familjesammankomst,ein Familientreffen,Familj
en familj,eine Familie,Familj
en barnfamilj,eine Familie mit Kindern,Familj
en familj utan barn,eine Familie ohne Kinder,Familj
farföräldrar,Großeltern,Familj
en ensamstående pappa,ein alleinerziehender Vater,Familj
en ensamstående mamma,eine alleinerziehende Mutter,Familj
en fosterfamilj,eine Pflegefamilie,Familj
en utökad familj,eine Großfamilie,Familj
en ung familj,eine junge Familie,Familj
syskon,Geschwister,Familj
ett familjeöverhuvud,ein Familienoberhaupt,Familj
en gravid kvinna,eine schwangere Frau,Familj
barnbarn,Enkelkinder,Familj
kusiner,Cousins,Familj
ett familjeargument,ein Familienstreit,Familj
ett adoptivbarn,ein adoptiertes Kind,Familj
en modern familj,eine moderne Familie,Familj
en traditionell familj,eine traditionelle Familie,Familj
en samkönad familj,eine gleichgeschlechtliche Familie,Familj
ett par,ein Paar,Relationer
bekanta,Bekannte,Relationer
vänner,Freunde,Relationer
ett homosexuellt par,ein schwules Paar,Relationer
transpersoner,Transgender-Personen,Relationer
en kär pojke,ein verliebter Junge,Relationer
en kär tjej,ein verliebtes Mädchen,Relationer
ett datum,ein Date,Relationer
ett samlivande par,ein zusammenlebendes Paar,Relationer
ett par som dansar,ein tanzendes Paar,Relationer
ett gift par,ein verheiratetes Paar,Relationer
kollegor,Kollegen,Relationer
nygifta,Frischvermählte,Relationer
partners,Partner,Relationer
en grupp vänner som spenderar tid tillsammans,"eine Freundesgruppe, die Zeit miteinander verbringt",Relationer
två bästa vänner,zwei beste Freunde,Relationer
grannar,Nachbarn,Relationer
pensionärer som tillbringar tid tillsammans,Rentner verbringen Zeit miteinander,Relationer
ett par som bröt upp,"ein Paar, das sich getrennt hat",Relationer
rumskamrater,Mitbewohner,Relationer
en tågstation,ein Bahnhof,Transportinfrastruktur
kollektivtrafik,öffentliche Verkehrsmittel,Transportinfrastruktur
en busshållplats,eine Bushaltestelle,Transportinfrastruktur
en flygplats,ein Flughafen,Transportinfrastruktur
cykelbanor,Radwege,Transportinfrastruktur
en bro,eine Brücke,Transportinfrastruktur
en motorväg,eine Autobahn,Transportinfrastruktur
ett tåg,ein Zug,Transportinfrastruktur
en hamn,ein Seehafen,Transportinfrastruktur
en trafikstockning,ein Stau,Transportinfrastruktur
rusningstid,Hauptverkehrszeit,Transportinfrastruktur
en tunnelbanestation,eine U-Bahn-Station,Transportinfrastruktur
en färjestation,eine Fährstation,Transportinfrastruktur
ett övergångsställe,ein Fußgängerübergang,Transportinfrastruktur
en taxistation,ein Taxistand,Transportinfrastruktur
en parkeringsplats,ein Parkplatz,Transportinfrastruktur
en järnvägsplattform,ein Bahnsteig,Transportinfrastruktur
långväga transporter,Ferntransport,Transportinfrastruktur
en daglig pendling,eine tägliche Pendelfahrt,Transportinfrastruktur
populära transportmedel,beliebte Fortbewegungsmittel,Transportinfrastruktur
en regeringsbyggnad,ein Regierungsgebäude,"Offentliga platser, statliga tjänster"
en allmän park,ein öffentlicher Park,"Offentliga platser, statliga tjänster"
en brandkår,eine Feuerwehr,"Offentliga platser, statliga tjänster"
en livsmedelsbutik,ein Lebensmittelgeschäft,"Offentliga platser, statliga tjänster"
en armé,eine Armee,"Offentliga platser, statliga tjänster"
energiinfrastruktur,Energieinfrastruktur,"Offentliga platser, statliga tjänster"
en stormarknadshylla,ein Supermarktregal,"Offentliga platser, statliga tjänster"
platsen där folk brukar göra mat,"der Ort, an dem die Leute normalerweise einkaufen","Offentliga platser, statliga tjänster"
ett köpcentrum,ein Einkaufszentrum,"Offentliga platser, statliga tjänster"
en förort,ein Vorort,"Offentliga platser, statliga tjänster"
en bank,eine Bank,"Offentliga platser, statliga tjänster"
ett museum,ein Museum,"Offentliga platser, statliga tjänster"
ett dagis,ein Kindergarten,"Offentliga platser, statliga tjänster"
en restaurang,ein Restaurant,"Offentliga platser, statliga tjänster"
en skola,eine Schule,"Offentliga platser, statliga tjänster"
ett universitet,eine Universität,"Offentliga platser, statliga tjänster"
ett bibliotek,eine Bibliothek,"Offentliga platser, statliga tjänster"
en marknad,ein Markt,"Offentliga platser, statliga tjänster"
ett historiskt monument,ein historisches Denkmal,"Offentliga platser, statliga tjänster"
en militärbas,eine Militärbasis,"Offentliga platser, statliga tjänster"
en födelsedagsfest,eine Geburtstagsfeier,"Helgdagar, högtider"
ett bröllop,eine Hochzeit,"Helgdagar, högtider"
en allmän helgdag,ein Feiertag,"Helgdagar, högtider"
årets största högtid,der größte Feiertag des Jahres,"Helgdagar, högtider"
en fest,eine Party,"Helgdagar, högtider"
ett nyårsfirande,eine Neujahrsfeier,"Helgdagar, högtider"
en stadsfest,ein Stadtfest,"Helgdagar, högtider"
människor som firar något,"Menschen, die etwas feiern","Helgdagar, högtider"
en offentlig festival,ein Volksfest,"Helgdagar, högtider"
en traditionell semester,ein traditioneller Feiertag,"Helgdagar, högtider"
en grupp vänner som firar goda nyheter,"eine Freundesgruppe, die gute Neuigkeiten feiert","Helgdagar, högtider"
unga människor som festar,feiernde junge Menschen,"Helgdagar, högtider"
en musikfestival,ein Musikfestival,"Helgdagar, högtider"
människor som dansar,tanzende Menschen,"Helgdagar, högtider"
en examensceremoni,eine Abschlussfeier,"Helgdagar, högtider"
årliga helgdagar,jährliche Feiertage,"Helgdagar, högtider"
en kvartersfest,eine Nachbarschaftsblockparty,"Helgdagar, högtider"
en parad,eine Parade,"Helgdagar, högtider"
en street food festival,ein Streetfood-Festival,"Helgdagar, högtider"
en skolbal,ein Schulball,"Helgdagar, högtider"
kontorsanställda,Büroangestellte,Arbete
en grupp kollegor,eine Gruppe von Kollegen,Arbete
en hårt arbetande person,ein fleißiger Mensch,Arbete
en grupp arbetare,eine Gruppe von Arbeitern,Arbete
fabriksarbetare,Fabrikarbeiter,Arbete
högkvalificerade arbetare,hochqualifizierte Arbeitskräfte,Arbete
lågutbildade arbetare,geringqualifizierte Arbeitskräfte,Arbete
ett kontor,ein Büro,Arbete
en arbetslös person,eine arbeitslose Person,Arbete
en person som håller en presentation,"eine Person, die eine Präsentation hält",Arbete
en person som utför manuellt arbete,"eine Person, die Handarbeit verrichtet",Arbete
en person i tjänstebranschen,eine Person in der Dienstleistungsbranche,Arbete
ett arbete hemifrån,ein Work-from-Home-Setup,Arbete
personer i ledande positioner,Menschen in Führungspositionen,Arbete
personer i en advisory board,Menschen in einem Beirat,Arbete
en samling efter jobbet,ein Treffen nach der Arbeit,Arbete
en person som blir befordrad,"eine Person, die befördert wird",Arbete
en anställningsintervju,ein Vorstellungsgespräch,Arbete
arbetare,Arbeiter,Arbete
tjänstemän,Angestellte,Arbete
en populär hobby,ein beliebtes Hobby,"Fritid, hobbies, sport"
en populär sport,ein beliebter Sport,"Fritid, hobbies, sport"
en person som är en sportfantast,"eine Person, die ein Sportfan ist","Fritid, hobbies, sport"
en person som idrottar,"eine Person, die Sport treibt","Fritid, hobbies, sport"
en person på fritiden,eine Person in ihrer Freizeit,"Fritid, hobbies, sport"
en person som kopplar av,"eine Person, die sich entspannt","Fritid, hobbies, sport"
en turistplats,ein Touristenort,"Fritid, hobbies, sport"
en klassisk litteraturbok,ein klassisches Literaturbuch,"Fritid, hobbies, sport"
människor som njuter av sin gemensamma hobby,"Menschen, die ihr gemeinsames Hobby genießen","Fritid, hobbies, sport"
en plats där människor umgås,"ein Ort, an dem Menschen Kontakte knüpfen","Fritid, hobbies, sport"
