German,English,Swedish
wie,as,Hur
ich,I,jag
seine,his,hans
dass,that,att
er,he,han
war,was,var
für,for,för
auf,on,på
sind,are,är
mit,with,med
sie,they,hon
sein,be,vara
bei,at,på
ein,one,en
haben,have,ha
dies,this,detta
aus,from,ut ur
durch,by,genom
heiß,hot,varm
Wort,word,Ord
aber,but,men
was,what,Vad
einige,some,några
ist,is,är
es,it,det
Sie,you,Du
oder,or,eller
hatte,had,hade
die,the,de
von,of,från
zu,to,till
und,and,och
ein,a,en
bei,in,på
wir,we,vi
können,can,burk
aus,out,ut ur
andere,other,andra
waren,were,var
die,which,de
tun,do,göra
ihre,their,hennes
Zeit,time,Tid
wenn,if,om
werden,will,bli
wie,how,Hur
sagte,said,sa
ein,an,en
jeder,each,alla
sagen,tell,säga
tut,does,gör
Satz,set,Döma
drei,three,tre
wollen,want,brist
Luft,air,Luft
gut,well,bra
auch,also,också
spielen,play,spela
klein,small,små
Ende,end,Avsluta
setzen,put,uppsättning
Zuhause,home,Hemma
lesen,read,läsa
seits,hand,på sidan
Hafen,port,Hamn
groß,large,stor
buchstabieren,spell,stava
hinzufügen,add,tillägga
auch,even,också
Lande,land,Landa
hier,here,här
muss,must,måste
groß,big,stor
hoch,high,hög
so,such,så
folgen,follow,konsekvenser
Akt,act,agera
warum,why,Varför
fragen,ask,frågor
Männer,men,Män
Veränderung,change,ändra
ging,went,gick
Licht,light,Ljus
Art,kind,Konst
aus,off,ut ur
müssen,need,måste
Haus,house,Hus
Bild,picture,Bild
versuchen,try,försök
uns,us,oss
wieder,again,igen
Tier,animal,djur
Punkt,point,Punkt
Mutter,mother,Mor
Welt,world,Värld
in der Nähe von,near,nära
bauen,build,bygga
selbst,self,själv
Erde,earth,Jorden
Vater,father,Far
jeder,any,alla
neu,new,ny
Arbeit,work,Arbete
Teil,part,Del
nehmen,take,ta
erhalten,get,få
Ort,place,Plats
gemacht,made,gjord
leben,live,liv
wo,where,där
nach,after,efter
zurück,back,tillbaka
wenig,little,få
nur,only,endast
